"Series";"Time";"Value"
"liveness-http on minikube";"2020-05-19 20:41:40";null
"liveness-http on minikube";"2020-05-19 20:41:45";null
"liveness-http on minikube";"2020-05-19 20:41:50";null
"liveness-http on minikube";"2020-05-19 20:41:55";null
"liveness-http on minikube";"2020-05-19 20:42:00";null
"liveness-http on minikube";"2020-05-19 20:42:05";null
"liveness-http on minikube";"2020-05-19 20:42:10";null
"liveness-http on minikube";"2020-05-19 20:42:15";null
"liveness-http on minikube";"2020-05-19 20:42:20";null
"liveness-http on minikube";"2020-05-19 20:42:25";null
"liveness-http on minikube";"2020-05-19 20:42:30";null
"liveness-http on minikube";"2020-05-19 20:42:35";null
"liveness-http on minikube";"2020-05-19 20:42:40";null
"liveness-http on minikube";"2020-05-19 20:42:45";null
"liveness-http on minikube";"2020-05-19 20:42:50";null
"liveness-http on minikube";"2020-05-19 20:42:55";null
"liveness-http on minikube";"2020-05-19 20:43:00";null
"liveness-http on minikube";"2020-05-19 20:43:05";null
"liveness-http on minikube";"2020-05-19 20:43:10";null
"liveness-http on minikube";"2020-05-19 20:43:15";null
"liveness-http on minikube";"2020-05-19 20:43:20";null
"liveness-http on minikube";"2020-05-19 20:43:25";null
"liveness-http on minikube";"2020-05-19 20:43:30";null
"liveness-http on minikube";"2020-05-19 20:43:35";null
"liveness-http on minikube";"2020-05-19 20:43:40";null
"liveness-http on minikube";"2020-05-19 20:43:45";null
"liveness-http on minikube";"2020-05-19 20:43:50";null
"liveness-http on minikube";"2020-05-19 20:43:55";null
"liveness-http on minikube";"2020-05-19 20:44:00";null
"liveness-http on minikube";"2020-05-19 20:44:05";null
"liveness-http on minikube";"2020-05-19 20:44:10";null
"liveness-http on minikube";"2020-05-19 20:44:15";null
"liveness-http on minikube";"2020-05-19 20:44:20";null
"liveness-http on minikube";"2020-05-19 20:44:25";null
"liveness-http on minikube";"2020-05-19 20:44:30";null
"liveness-http on minikube";"2020-05-19 20:44:35";null
"liveness-http on minikube";"2020-05-19 20:44:40";null
"liveness-http on minikube";"2020-05-19 20:44:45";null
"liveness-http on minikube";"2020-05-19 20:44:50";null
"liveness-http on minikube";"2020-05-19 20:44:55";null
"liveness-http on minikube";"2020-05-19 20:45:00";null
"liveness-http on minikube";"2020-05-19 20:45:05";null
"liveness-http on minikube";"2020-05-19 20:45:10";null
"liveness-http on minikube";"2020-05-19 20:45:15";null
"liveness-http on minikube";"2020-05-19 20:45:20";null
"liveness-http on minikube";"2020-05-19 20:45:25";null
"liveness-http on minikube";"2020-05-19 20:45:30";null
"liveness-http on minikube";"2020-05-19 20:45:35";null
"liveness-http on minikube";"2020-05-19 20:45:40";null
"liveness-http on minikube";"2020-05-19 20:45:45";null
"liveness-http on minikube";"2020-05-19 20:45:50";null
"liveness-http on minikube";"2020-05-19 20:45:55";null
"liveness-http on minikube";"2020-05-19 20:46:00";null
"liveness-http on minikube";"2020-05-19 20:46:05";null
"liveness-http on minikube";"2020-05-19 20:46:10";null
"liveness-http on minikube";"2020-05-19 20:46:15";null
"liveness-http on minikube";"2020-05-19 20:46:20";null
"liveness-http on minikube";"2020-05-19 20:46:25";null
"liveness-http on minikube";"2020-05-19 20:46:30";null
"liveness-http on minikube";"2020-05-19 20:46:35";null
"liveness-http on minikube";"2020-05-19 20:46:40";null
"liveness-http on minikube";"2020-05-19 20:46:45";null
"liveness-http on minikube";"2020-05-19 20:46:50";null
"liveness-http on minikube";"2020-05-19 20:46:55";null
"liveness-http on minikube";"2020-05-19 20:47:00";null
"liveness-http on minikube";"2020-05-19 20:47:05";null
"liveness-http on minikube";"2020-05-19 20:47:10";null
"liveness-http on minikube";"2020-05-19 20:47:15";null
"liveness-http on minikube";"2020-05-19 20:47:20";null
"liveness-http on minikube";"2020-05-19 20:47:25";null
"liveness-http on minikube";"2020-05-19 20:47:30";null
"liveness-http on minikube";"2020-05-19 20:47:35";null
"liveness-http on minikube";"2020-05-19 20:47:40";null
"liveness-http on minikube";"2020-05-19 20:47:45";null
"liveness-http on minikube";"2020-05-19 20:47:50";null
"liveness-http on minikube";"2020-05-19 20:47:55";null
"liveness-http on minikube";"2020-05-19 20:48:00";null
"liveness-http on minikube";"2020-05-19 20:48:05";null
"liveness-http on minikube";"2020-05-19 20:48:10";null
"liveness-http on minikube";"2020-05-19 20:48:15";null
"liveness-http on minikube";"2020-05-19 20:48:20";null
"liveness-http on minikube";"2020-05-19 20:48:25";null
"liveness-http on minikube";"2020-05-19 20:48:30";null
"liveness-http on minikube";"2020-05-19 20:48:35";null
"liveness-http on minikube";"2020-05-19 20:48:40";null
"liveness-http on minikube";"2020-05-19 20:48:45";null
"liveness-http on minikube";"2020-05-19 20:48:50";null
"liveness-http on minikube";"2020-05-19 20:48:55";null
"liveness-http on minikube";"2020-05-19 20:49:00";null
"liveness-http on minikube";"2020-05-19 20:49:05";null
"liveness-http on minikube";"2020-05-19 20:49:10";null
"liveness-http on minikube";"2020-05-19 20:49:15";null
"liveness-http on minikube";"2020-05-19 20:49:20";null
"liveness-http on minikube";"2020-05-19 20:49:25";null
"liveness-http on minikube";"2020-05-19 20:49:30";null
"liveness-http on minikube";"2020-05-19 20:49:35";null
"liveness-http on minikube";"2020-05-19 20:49:40";null
"liveness-http on minikube";"2020-05-19 20:49:45";null
"liveness-http on minikube";"2020-05-19 20:49:50";null
"liveness-http on minikube";"2020-05-19 20:49:55";null
"liveness-http on minikube";"2020-05-19 20:50:00";null
"liveness-http on minikube";"2020-05-19 20:50:05";null
"liveness-http on minikube";"2020-05-19 20:50:10";null
"liveness-http on minikube";"2020-05-19 20:50:15";null
"liveness-http on minikube";"2020-05-19 20:50:20";null
"liveness-http on minikube";"2020-05-19 20:50:25";null
"liveness-http on minikube";"2020-05-19 20:50:30";null
"liveness-http on minikube";"2020-05-19 20:50:35";null
"liveness-http on minikube";"2020-05-19 20:50:40";null
"liveness-http on minikube";"2020-05-19 20:50:45";null
"liveness-http on minikube";"2020-05-19 20:50:50";null
"liveness-http on minikube";"2020-05-19 20:50:55";null
