"Series";"Time";"Value"
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:40:40";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:41:00";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:41:20";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:41:40";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:42:00";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:42:20";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:42:40";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:43:00";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:43:20";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:43:40";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:44:00";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:44:20";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:44:40";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:45:00";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:45:20";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:45:40";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:46:00";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:46:20";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:46:40";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:47:00";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:47:20";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:47:40";null
"liveness-http-6dffcb9695-h9p47 on 172.17.0.7:8088";"2020-05-20 09:48:00";null
